"endTime","artistName","trackName","minutesPlayed"
2021-08-02 13:44:00,"Jus Now","FIRE (SPOTIE) [FEAT. BUSY SIGNAL] [MAJOR LAZER REMIX]",2.17
2021-08-02 13:46:00,"Tropkillaz","LOKO",2.72
2021-08-02 13:49:00,"Sean Paul","TIP PON IT",2.27
2021-08-02 13:50:00,"Major Lazer","LIGHT IT UP - REMIX",0.87
2021-08-02 13:53:00,"Major Lazer","PARTICULA",3.41
2021-08-02 13:54:00,"French Montana","UNFORGETTABLE (FEAT. SWAE LEE) - MAJOR LAZER REMIX",0.19
2021-08-02 13:55:00,"Major Lazer","WATCH OUT FOR THIS (BUMAYE)",0.23
2021-08-02 13:55:00,"Cashmere Cat","MISS YOU (WITH MAJOR LAZER & TORY LANEZ)",1.38
2021-08-02 13:59:00,"Major Lazer","BELIEVER",3.72
2021-08-02 14:08:00,"Major Lazer","WATCH OUT FOR THIS (BUMAYE)",3.85
2021-08-02 14:09:00,"Cashmere Cat","MISS YOU (WITH MAJOR LAZER & TORY LANEZ)",0.06
2021-08-02 14:12:00,"Jorja Smith","BE HONEST (FEAT. BURNA BOY)",3.45
2021-08-02 14:14:00,"Lost Frequencies","ARE YOU WITH ME",2.3
2021-08-02 14:16:00,"Khalid","8TEEN",0.67
2021-08-03 01:45:00,"Quinn XCII","STACY",0.33
2021-08-03 01:48:00,"DJ Khaled","LET IT GO (FEAT. JUSTIN BIEBER & 21 SAVAGE)",2.76
2021-08-03 01:50:00,"Justin Bieber","PEACHES (FEAT. DANIEL CAESAR & GIVEON)",0.06
2021-08-03 01:50:00,"Lil Tjay","CALLING MY PHONE",0.02
2021-08-03 01:50:00,"Tate McRae","WORKING",0.03
2021-08-03 01:50:00,"Pop Smoke","MOOD SWINGS (FEAT. LIL TJAY)",0.01
2021-08-03 01:51:00,"Arizona Zervas","NIGHTRIDER",0.73
2021-08-03 01:53:00,"ZAYN","VIBEZ",2.72
2021-08-03 02:07:00,"Glass Animals","HEAT WAVES",3.23
2021-08-03 02:49:00,"Khalid","ELEVEN (FEAT. SUMMER WALKER)",0.01
2021-08-03 02:51:00,"DJ Khaled","LET IT GO (FEAT. JUSTIN BIEBER & 21 SAVAGE)",2.76
2021-08-03 02:51:00,"Justin Bieber","PEACHES (FEAT. DANIEL CAESAR & GIVEON)",0
2021-08-03 02:52:00,"Lil Tjay","CALLING MY PHONE",0.17
2021-08-03 02:52:00,"Tate McRae","WORKING",0.08
2021-08-03 02:52:00,"Pop Smoke","MOOD SWINGS (FEAT. LIL TJAY)",0.05
2021-08-03 02:54:00,"Arizona Zervas","NIGHTRIDER",2.61
2021-08-03 02:57:00,"ZAYN","VIBEZ",2.72
2021-08-03 03:09:00,"Glass Animals","HEAT WAVES",1.73
2021-08-03 03:18:00,"Major Lazer","TITANS (FEAT. SIA & LABRINTH)",3.32
2021-08-03 03:23:00,"Major Lazer","PRA TE MACHUCAR (FEAT. ÀTTØØXXÁ AND SUKU WARD)",1.06
2021-08-03 03:24:00,"Mr Eazi","OH MY GAWD (FEAT. NICKI MINAJ & K4MO)",0.67
2021-08-03 03:30:00,"Tropkillaz","LOKO",5.38
2021-08-03 03:30:00,"Sean Paul","TIP PON IT",0.19
2021-08-03 03:33:00,"Jax Jones","BREATHE",0.14
2021-08-03 03:33:00,"Axwell /\ Ingrosso","MORE THAN YOU KNOW",3.38
